Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
7.719865798950195	0	18.8754716981	8.73874274581	53.0	8.0	18.8754716981	8.73874274581	5002	5002
9.102434158325195	1	28.2134831461	16.2214117828	121.0	10.0	28.2134831461	16.2214117828	5022	10024
10.206338882446289	2	34.8125	15.1913575348	86.0	13.0	34.8125	15.1913575348	5013	15037
11.66588282585144	3	46.1834862385	19.6371512432	114.0	11.0	46.1834862385	19.6371512432	5034	20071
12.918699979782104	4	53.9677419355	29.6250589992	180.0	20.0	53.9677419355	29.6250589992	5019	25090
14.400471925735474	5	53.3617021277	19.8702445475	123.0	18.0	53.3617021277	19.8702445475	5016	30106
15.617629051208496	6	64.2051282051	23.789870164	141.0	24.0	64.2051282051	23.789870164	5008	35114
17.009519815444946	7	67.8243243243	29.7054722905	200.0	25.0	67.8243243243	29.7054722905	5019	40133
