Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
8.831882953643799	0	35.3802816901	8.97706968907	74.0	24.0	35.3802816901	8.97706968907	5024	5024
10.522449970245361	1	23.5023474178	1.80667622907	27.0	20.0	23.5023474178	1.80667622907	5006	10030
12.28426480293274	2	16.986440678	0.798188123427	19.0	15.0	16.986440678	0.798188123427	5011	15041
14.167489051818848	3	16.9256756757	0.767509276431	19.0	15.0	16.9256756757	0.767509276431	5010	20051
16.072887897491455	4	16.9728813559	0.740551903324	18.0	16.0	16.9728813559	0.740551903324	5007	25058
17.87794303894043	5	16.4934210526	0.648852332222	18.0	15.0	16.4934210526	0.648852332222	5014	30072
19.7362380027771	6	16.0255591054	0.696397684749	17.0	15.0	16.0255591054	0.696397684749	5016	35088
21.52832794189453	7	15.7421383648	0.611358282359	17.0	15.0	15.7421383648	0.611358282359	5006	40094
23.32551598548889	8	15.3241590214	0.634481038944	16.0	14.0	15.3241590214	0.634481038944	5011	45105
25.131268978118896	9	15.1178247734	0.637225940942	16.0	14.0	15.1178247734	0.637225940942	5004	50109
26.911202907562256	10	16.0480769231	0.660901788143	17.0	15.0	16.0480769231	0.660901788143	5007	55116
28.661062955856323	11	18.0866425993	0.720811259807	20.0	17.0	18.0866425993	0.720811259807	5010	60126
30.44369888305664	12	22.40625	0.921061232841	24.0	20.0	22.40625	0.921061232841	5019	65145
32.18719983100891	13	26.7486631016	1.285848865	29.0	24.0	26.7486631016	1.285848865	5002	70147
33.95373582839966	14	35.6595744681	1.70867534954	40.0	32.0	35.6595744681	1.70867534954	5028	75175
35.75725197792053	15	33.1324503311	1.52972965057	37.0	30.0	33.1324503311	1.52972965057	5003	80178
37.54877686500549	16	36.5693430657	1.73329617401	40.0	32.0	36.5693430657	1.73329617401	5010	85188
39.358205795288086	17	51.4183673469	1.88940909339	55.0	47.0	51.4183673469	1.88940909339	5039	90227
41.1529221534729	18	62.1358024691	2.62820920311	68.0	55.0	62.1358024691	2.62820920311	5033	95260
42.99246406555176	19	77.2153846154	8.22471380412	121.0	66.0	77.2153846154	8.22471380412	5019	100279
44.85817193984985	20	107.617021277	5.47548964677	123.0	97.0	107.617021277	5.47548964677	5058	105337
46.82466197013855	21	133.710526316	13.3671000176	162.0	110.0	133.710526316	13.3671000176	5081	110418
48.61762499809265	22	120.571428571	23.2769483939	177.0	89.0	120.571428571	23.2769483939	5064	115482
50.35987615585327	23	98.137254902	12.2634793512	132.0	83.0	98.137254902	12.2634793512	5005	120487
52.1273729801178	24	89.875	7.6182640036	128.0	79.0	89.875	7.6182640036	5033	125520
53.885539054870605	25	83.7	5.74253138143	94.0	62.0	83.7	5.74253138143	5022	130542
55.61479711532593	26	83.5166666667	5.75757954545	91.0	62.0	83.5166666667	5.75757954545	5011	135553
57.370035886764526	27	76.1060606061	9.03885348703	90.0	55.0	76.1060606061	9.03885348703	5023	140576
59.13225293159485	28	75.0746268657	9.47473219853	86.0	53.0	75.0746268657	9.47473219853	5030	145606
60.87277317047119	29	76.0151515152	10.3565122599	89.0	55.0	76.0151515152	10.3565122599	5017	150623
62.661442041397095	30	82.0322580645	9.54102811451	93.0	57.0	82.0322580645	9.54102811451	5086	155709
64.3932569026947	31	88.4210526316	4.69021889446	95.0	63.0	88.4210526316	4.69021889446	5040	160749
66.15662693977356	32	92.3636363636	7.75151278224	103.0	65.0	92.3636363636	7.75151278224	5080	165829
68.0222761631012	33	98.2941176471	3.95213577229	107.0	91.0	98.2941176471	3.95213577229	5013	170842
70.26311302185059	34	104.4375	7.91334908556	120.0	70.0	104.4375	7.91334908556	5013	175855
72.30874395370483	35	112.422222222	8.08974354459	131.0	98.0	112.422222222	8.08974354459	5059	180914
74.4457950592041	36	121.738095238	16.4968388369	170.0	97.0	121.738095238	16.4968388369	5113	186027
76.99667882919312	37	126.825	19.0037989623	173.0	98.0	126.825	19.0037989623	5073	191100
78.9073269367218	38	117.186046512	15.8426210745	175.0	90.0	117.186046512	15.8426210745	5039	196139
81.54388093948364	39	100.86	12.1721156748	139.0	80.0	100.86	12.1721156748	5043	201182
83.52260613441467	40	99.8039215686	15.4158304271	150.0	73.0	99.8039215686	15.4158304271	5090	206272
85.5651388168335	41	106.020833333	16.0850468647	148.0	78.0	106.020833333	16.0850468647	5089	211361
87.45184898376465	42	107.29787234	18.0953913183	146.0	82.0	107.29787234	18.0953913183	5043	216404
89.23772692680359	43	109.02173913	18.7738128559	182.0	82.0	109.02173913	18.7738128559	5015	221419
91.03272700309753	44	104.729166667	10.5765849548	125.0	85.0	104.729166667	10.5765849548	5027	226446
92.88506293296814	45	109.326086957	18.7106739449	157.0	83.0	109.326086957	18.7106739449	5029	231475
94.66870284080505	46	102.408163265	16.9884935457	156.0	75.0	102.408163265	16.9884935457	5018	236493
96.42701005935669	47	90.0892857143	12.6847444731	120.0	71.0	90.0892857143	12.6847444731	5045	241538
98.1799099445343	48	82.0491803279	8.6978916411	109.0	67.0	82.0491803279	8.6978916411	5005	246543
99.93319702148438	49	78.640625	9.52852163819	114.0	67.0	78.640625	9.52852163819	5033	251576
101.62425589561462	50	71.0	6.07697107651	97.0	62.0	71.0	6.07697107651	5041	256617
103.39792799949646	51	69.3150684932	7.11139681928	102.0	59.0	69.3150684932	7.11139681928	5060	261677
105.15676379203796	52	65.4675324675	5.38777937917	98.0	56.0	65.4675324675	5.38777937917	5041	266718
106.86526489257812	53	64.2307692308	5.81977855981	94.0	57.0	64.2307692308	5.81977855981	5010	271728
108.63517093658447	54	64.1012658228	5.2424627914	92.0	57.0	64.1012658228	5.2424627914	5064	276792
110.35674285888672	55	62.3950617284	3.33584724591	72.0	57.0	62.3950617284	3.33584724591	5054	281846
112.09238076210022	56	61.6829268293	3.12690156303	68.0	54.0	61.6829268293	3.12690156303	5058	286904
113.8728461265564	57	62.8888888889	6.55649710753	102.0	56.0	62.8888888889	6.55649710753	5094	291998
115.60153794288635	58	69.7361111111	13.2549708239	98.0	57.0	69.7361111111	13.2549708239	5021	297019
117.34805607795715	59	86.3448275862	9.72297620842	97.0	60.0	86.3448275862	9.72297620842	5008	302027
119.10357284545898	60	91.0545454545	2.78579632368	96.0	85.0	91.0545454545	2.78579632368	5008	307035
120.83289194107056	61	95.3018867925	8.46877707342	139.0	87.0	95.3018867925	8.46877707342	5051	312086
122.5850899219513	62	113.75	16.8322269363	136.0	90.0	113.75	16.8322269363	5005	317091
124.3527307510376	63	139.138888889	14.3800648619	209.0	126.0	139.138888889	14.3800648619	5009	322100
126.14889073371887	64	167.5	24.5190402205	211.0	134.0	167.5	24.5190402205	5025	327125
128.0047149658203	65	169.866666667	26.5050100086	199.0	126.0	169.866666667	26.5050100086	5096	332221
129.83692908287048	66	172.466666667	24.6167061611	201.0	128.0	172.466666667	24.6167061611	5174	337395
131.6595640182495	67	177.896551724	20.0608467996	197.0	135.0	177.896551724	20.0608467996	5159	342554
133.49777507781982	68	197.076923077	5.31994127298	212.0	189.0	197.076923077	5.31994127298	5124	347678
135.41279482841492	69	219.565217391	29.7465030271	273.0	191.0	219.565217391	29.7465030271	5050	352728
137.42301392555237	70	229.217391304	30.4830052748	286.0	165.0	229.217391304	30.4830052748	5272	358000
139.2989799976349	71	216.333333333	25.3913808648	246.0	168.0	216.333333333	25.3913808648	5192	363192
141.23781871795654	72	229.0	38.7410578743	297.0	155.0	229.0	38.7410578743	5267	368459
143.18625617027283	73	246.0	45.6383297553	361.0	194.0	246.0	45.6383297553	5166	373625
145.27549386024475	74	251.75	32.4667137234	344.0	197.0	251.75	32.4667137234	5035	378660
